68244_H3K4me1_Ren_sort_peaks.narrowPeak.gz	68115_EP300_Ren_sort_peaks.narrowPeak.gz	54499_H3K27ac_sort_peaks.narrowPeak.gz	62993_H3K27ac_sort_peaks.narrowPeak.gz	60947_H3K4me2_sort_peaks.narrowPeak.gz	5097_HOXC9_sort_peaks.narrowPeak.gz	55119_SOX2_sort_peaks.narrowPeak.gz	5060_OLIG2_sort_peaks.narrowPeak.gz	54562_H3K27ac_sort_peaks.narrowPeak.gz	53322_H3K4me1_sort_peaks.narrowPeak.gz	56691_POLII_sort_peaks.narrowPeak.gz	61702_H3K9ac_sort_peaks.narrowPeak.gz	61864_H3K27ac_sort_peaks.narrowPeak.gz	54525_H3K27ac_sort_peaks.narrowPeak.gz	53421_H3K4me1_sort_peaks.narrowPeak.gz	1545_DNase_sort_peaks.narrowPeak.gz	58242_SPI1_sort_peaks.narrowPeak.gz	58256_SPI1_sort_peaks.narrowPeak.gz	1932_EP300_sort_peaks.narrowPeak.gz	58318_DNase_sort_peaks.narrowPeak.gz	58262_SPI1_sort_peaks.narrowPeak.gz	1491_DNase_sort_peaks.narrowPeak.gz
chr12|12707412|12712118	0.0	0.0	7.54977	0.0	5.65821	0.0	0.0	12.077	0.0	10.10758	0.0	0.0	0.0	0.0	11.94665	0.0	5.74894	0.0	0.0	3.2175	9.16842	7.66266
chr4|62611143|62615332	6.0415	0.0	36.87452	0.0	12.72052	40.63562	0.0	0.0	22.39932	11.56743	0.0	4.33966	0.0	13.49877	14.11201	8.46894	4.25249	54.45645	0.0	15.33076	5.36291	22.68098
chr1|73639286|73644483	6.5084	12.61684	4.8547	7.9404	9.11545	0.0	0.0	0.0	7.94742	5.97977	0.0	0.0	0.0	0.0	0.0	0.0	11.75128	61.67124	0.0	7.25487	0.0	0.0
chr1|90472812|90477819	0.0	0.0	28.85541	0.0	0.0	52.99833	24.27547	0.0	0.0	21.35357	0.0	0.0	0.0	0.0	12.48483	0.0	5.11695	7.005	0.0	6.40384	0.0	0.0
chr2|101589988|101594341	0.0	0.0	19.99774	0.0	10.30151	138.00549	0.0	17.27151	0.0	9.79541	0.0	0.0	0.0	0.0	6.60124	0.0	10.95055	0.0	0.0	16.06641	0.0	0.0
chr2|103623986|103627532	7.96487	4.07095	56.93681	5.14061	8.36311	10.54016	6.88213	29.54043	0.0	35.41255	0.0	0.0	0.0	0.0	7.51533	0.0	9.42827	0.0	10.18946	5.29722	13.85088	5.32052
chr13|84781772|84786465	0.0	0.0	14.08377	0.0	0.0	11.37548	7.90256	0.0	0.0	10.79414	0.0	0.0	0.0	0.0	7.38975	0.0	0.0	38.46791	0.0	0.0	4.83415	5.36952
chr18|34131298|34134370	0.0	0.0	36.90737	0.0	9.68017	0.0	11.6385	18.59805	46.57795	20.0865	0.0	0.0	0.0	0.0	3.71557	4.99738	7.11656	23.30381	0.0	7.4069	9.52873	7.31079
chr11|96763980|96769001	0.0	31.23892	27.23308	0.0	4.12496	8.39951	0.0	9.68581	4.07901	15.46893	0.0	0.0	4.98311	0.0	8.51668	0.0	5.66345	0.0	0.0	6.19941	28.50144	26.57652
chr8|120302266|120306507	0.0	0.0	22.28907	0.0	0.0	0.0	0.0	17.34975	12.69026	3.99389	0.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
chr8|126535553|126540585	12.20583	21.22335	10.74751	5.76737	10.45007	37.05992	10.30815	18.08888	7.12284	39.99059	13.91901	5.06069	0.0	10.40912	11.94442	11.30145	9.21598	98.98508	0.0	5.77505	21.72167	3.61092
chr2|130489314|130493856	0.0	0.0	18.25225	0.0	3.69799	12.5435	29.25334	7.14487	4.60871	6.97488	0.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
chr16|35562916|35566579	0.0	0.0	5.34625	0.0	7.53541	0.0	0.0	47.74697	5.7867	12.44877	0.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
chr14|76030042|76035145	0.0	0.0	97.23602	0.0	4.01607	26.26487	6.48544	14.42418	4.07376	10.44018	0.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
chr14|21366918|21370838	0.0	9.52953	5.30583	0.0	12.55497	105.72825	34.33142	32.56849	3.1037	8.77852	0.0	9.26721	0.0	0.0	6.30406	15.37455	57.05811	80.52963	0.0	42.37935	82.16457	69.86973
chr8|120297687|120299975	0.0	0.0	33.60255	0.0	6.59469	5.9987	22.07502	58.55108	101.03497	38.42899	0.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
chr6|72728577|72732628	0.0	0.0	12.26746	0.0	6.82632	89.04463	31.91651	12.70071	4.77472	14.63585	0.0	0.0	54.71224	0.0	4.74909	8.87389	7.40303	65.99836	27.48474	26.39052	49.55997	17.79235
chr8|87743566|87748592	5.69781	0.0	14.87239	0.0	18.01722	0.0	0.0	7.48109	4.3058	33.39085	0.0	0.0	4.20911	0.0	5.31842	3.94575	7.16309	7.98711	5.38684	10.90832	14.67115	6.54593
chr3|35331428|35336495	0.0	0.0	6.30752	0.0	11.56173	10.70387	0.0	0.0	0.0	12.80816	0.0	0.0	45.2174	0.0	5.22825	0.0	26.27009	0.0	42.39258	16.77246	21.86472	18.69824
chr6|93818356|93823383	6.90748	0.0	9.35179	0.0	0.0	20.91432	0.0	62.99108	0.0	8.39386	0.0	0.0	0.0	0.0	6.17369	0.0	13.482	12.39824	0.0	6.87213	79.10559	52.64726
chr6|91144563|91149338	0.0	0.0	59.36052	0.0	0.0	0.0	0.0	6.31659	0.0	11.19056	0.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
chr16|23502808|23507356	5.66159	0.0	5.16256	3.4266	5.11382	0.0	0.0	0.0	0.0	3.91381	5.09661	0.0	8.43995	0.0	18.85295	0.0	30.39256	0.0	0.0	21.24881	56.57164	35.04237
chr4|82702622|82707694	6.16961	11.94357	39.1277	0.0	0.0	0.0	0.0	9.03397	7.67432	6.43513	0.0	0.0	0.0	33.57897	8.87802	0.0	10.84555	0.0	0.0	9.4711	30.58092	36.2235
chr9|106336305|106340348	8.03171	0.0	22.37953	0.0	15.83572	0.0	12.40773	82.35418	82.47734	4.40626	0.0	5.60871	2.87525	7.04458	4.84056	0.0	5.66345	25.60142	0.0	4.47667	0.0	25.11196
chr4|134630703|134635445	10.09077	81.396	33.48475	6.62703	0.0	10.84403	0.0	14.3398	7.48595	4.37332	12.9842	4.166	5.68842	5.84798	9.47158	4.19515	23.13637	61.98871	0.0	14.63373	7.44402	11.45871
chr2|71611087|71614500	13.51347	0.0	16.1184	0.0	5.98987	0.0	0.0	7.21598	0.0	16.51283	0.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
chr1|97538497|97542741	0.0	0.0	5.92536	0.0	13.98553	12.97875	25.67437	37.89971	0.0	8.72169	0.0	0.0	88.11581	0.0	6.03613	0.0	0.0	0.0	12.61695	0.0	52.5627	12.02192
chr7|117616695|117621521	0.0	0.0	8.34823	0.0	7.50847	7.21136	0.0	9.71619	0.0	9.61967	0.0	0.0	189.3071	0.0	6.57963	0.0	0.0	0.0	7.23525	0.0	70.64954	48.88195
chr9|61402174|61407234	5.21032	0.0	25.08323	0.0	0.0	0.0	0.0	0.0	2.97873	13.37693	0.0	0.0	5.04533	0.0	4.50745	5.66534	10.06472	71.51263	0.0	3.75977	4.95703	36.53823
chr8|87151207|87154296	0.0	0.0	26.02747	0.0	5.23903	0.0	0.0	10.61518	10.75999	19.30796	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.75282	0.0
chr9|48693871|48698585	11.04082	0.0	4.32153	6.97247	4.30319	9.41889	15.20592	214.06387	0.0	10.10758	0.0	5.45153	139.73849	0.0	6.74945	0.0	10.64335	0.0	4.00086	4.10599	3.6671	0.0
chr7|117138022|117142382	5.43269	0.0	3.35006	0.0	8.51244	0.0	0.0	19.71209	0.0	10.87496	0.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
chr13|59989666|59994793	0.0	0.0	10.07614	11.01502	0.0	0.0	0.0	0.0	15.88759	10.28539	0.0	0.0	69.00994	0.0	0.0	4.02068	0.0	17.09864	7.15644	0.0	9.47356	0.0
chr12|5266438|5269568	13.51347	5.59623	28.43286	5.14061	0.0	0.0	0.0	0.0	14.90001	14.63959	0.0	0.0	5.54665	0.0	10.64545	0.0	5.06616	0.0	0.0	5.92278	17.77424	15.89712
chr16|37812647|37815565	5.31092	7.99763	10.74751	6.89064	0.0	0.0	0.0	0.0	21.71069	7.10166	0.0	3.08954	13.51314	30.87923	6.18291	6.17154	7.26493	26.11125	5.98024	15.99361	18.39781	64.81896
chr5|77486940|77489925	12.43111	0.0	3.80886	6.7422	3.81751	0.0	0.0	0.0	12.69026	35.03631	0.0	0.0	0.0	0.0	0.0	0.0	28.92284	0.0	0.0	18.65709	4.74277	0.0
chrX|73913983|73916518	0.0	28.18622	29.72068	7.9404	5.48755	0.0	0.0	0.0	18.25946	0.0	9.88814	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
chr16|44537655|44540232	0.0	0.0	11.12549	0.0	0.0	8.66902	0.0	0.0	6.3528	14.58297	0.0	0.0	0.0	0.0	0.0	0.0	11.59771	0.0	0.0	4.9316	44.0475	56.6
chr6|112813562|112816924	0.0	0.0	15.26292	0.0	7.50063	27.17268	0.0	13.82546	0.0	3.84536	0.0	0.0	54.86003	0.0	7.67556	0.0	38.70768	3.98781	9.48506	24.07572	23.32815	5.53837
chr3|63869819|63872427	0.0	0.0	4.43385	0.0	12.16556	0.0	11.14683	0.0	6.3531	0.0	0.0	0.0	28.75693	5.41272	8.13072	0.0	7.70842	12.34082	0.0	10.73551	12.71355	14.0372
chr14|73233956|73236326	0.0	12.65202	4.71848	13.04782	0.0	19.86142	0.0	0.0	7.09681	0.0	0.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
chr5|118665477|118668878	4.83034	0.0	7.69026	0.0	11.74906	97.36437	10.30651	31.17338	0.0	2.81099	0.0	0.0	8.65048	10.36099	4.58119	7.92365	25.04596	94.28829	0.0	10.19777	22.93499	21.53089
chr14|19940072|19943446	13.7058	0.0	7.61365	6.52471	4.12953	0.0	11.93308	0.0	5.83895	30.36928	0.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
chr11|107762173|107764184	0.0	0.0	3.14815	0.0	7.72567	38.74373	18.0353	35.54237	46.62795	5.35773	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr9|95812717|95815609	0.0	0.0	28.31185	5.14061	6.66635	0.0	0.0	0.0	3.31951	7.08994	0.0	0.0	0.0	0.0	0.0	0.0	7.47269	0.0	0.0	4.58756	0.0	5.87192
chr4|133659033|133661626	8.71068	13.69606	8.44955	9.96604	7.39383	0.0	0.0	0.0	42.88541	6.87999	0.0	0.0	0.0	48.97871	0.0	0.0	6.66101	22.65318	0.0	4.58756	32.2641	13.10351
chr4|32476879|32481892	9.03144	0.0	10.78575	4.27905	0.0	13.43287	0.0	10.97063	0.0	31.47074	0.0	0.0	0.0	0.0	7.54217	0.0	9.05182	0.0	0.0	6.85521	16.89611	24.83863
chr2|117427080|117430606	0.0	0.0	6.80595	0.0	0.0	7.10945	0.0	0.0	0.0	15.64267	0.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
chr11|77924762|77927516	0.0	0.0	7.54977	0.0	0.0	0.0	0.0	0.0	0.0	11.4446	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.09437
chr1|158265467|158268046	0.0	0.0	10.6786	0.0	5.51587	7.58428	0.0	15.10158	0.0	8.77852	0.0	0.0	0.0	0.0	0.0	8.13635	26.10652	50.11129	0.0	22.74202	0.0	0.0
chr3|76465722|76469421	0.0	0.0	0.0	0.0	0.0	57.51118	0.0	0.0	0.0	0.0	0.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
chr9|13697970|13700760	0.0	0.0	9.3468	0.0	6.64891	5.32543	13.92929	0.0	0.0	15.71614	0.0	0.0	0.0	0.0	6.13498	0.0	0.0	0.0	0.0	0.0	5.51734	0.0
chr1|75288287|75291172	0.0	0.0	29.31791	0.0	9.77607	0.0	0.0	15.96762	0.0	13.32484	0.0	0.0	6.05283	0.0	16.70061	0.0	20.94089	15.02705	0.0	28.76906	9.21517	0.0
chr1|13003747|13006556	0.0	0.0	33.59888	0.0	8.50132	17.15316	0.0	19.24426	3.06543	12.58416	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.849	14.64236
chr13|56768879|56771714	0.0	0.0	26.60579	0.0	0.0	0.0	0.0	6.98988	0.0	11.56743	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.11844	53.97273
chr12|79610948|79615810	10.1362	86.79518	10.01756	7.9404	0.0	4.66024	0.0	35.73832	13.61844	11.40906	0.0	3.02604	10.06147	7.10824	4.11874	5.55891	20.7139	21.94475	7.52006	7.77887	38.12159	40.14969
chr11|32008837|32012277	6.55713	0.0	22.33597	0.0	12.46687	0.0	9.30233	10.10203	0.0	12.88618	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.43847	0.0	0.0	4.65919	0.0
chr10|80565497|80568178	0.0	37.47496	31.54466	0.0	0.0	0.0	0.0	0.0	0.0	9.47789	0.0	0.0	0.0	0.0	0.0	0.0	11.10512	8.87549	0.0	10.32751	0.0	0.0
chr4|24216914|24220803	0.0	0.0	10.07614	0.0	0.0	59.39201	0.0	0.0	0.0	10.9306	0.0	0.0	0.0	0.0	10.57492	0.0	0.0	0.0	0.0	0.0	16.69603	22.36595
chr2|166019657|166023462	3.58012	6.62669	41.68245	8.78011	21.35778	12.64972	0.0	3.12584	0.0	5.41345	0.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
chr2|30685857|30689137	5.43269	0.0	36.57834	6.97247	0.0	0.0	0.0	0.0	37.08612	39.78586	0.0	0.0	0.0	14.62189	0.0	0.0	0.0	0.0	0.0	0.0	25.17103	33.40047
chr1|157936874|157941610	0.0	0.0	28.14355	0.0	6.98977	53.0224	0.0	0.0	0.0	17.46489	0.0	0.0	0.0	0.0	0.0	0.0	27.62822	6.11722	0.0	24.79083	0.0	7.91727
chr2|168693119|168695892	3.9335	0.0	8.29443	3.70918	8.00894	0.0	0.0	94.55898	0.0	8.39386	0.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
chr13|12502078|12504879	0.0	0.0	0.0	0.0	12.77006	0.0	4.63273	14.92019	8.33986	3.91381	0.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
chr4|107143150|107146021	0.0	0.0	16.51228	0.0	0.0	0.0	0.0	0.0	4.62197	11.67684	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr11|111892672|111895416	0.0	0.0	6.18774	0.0	0.0	0.0	5.68203	11.35425	0.0	7.78353	0.0	0.0	0.0	0.0	9.66572	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr18|55145238|55148103	0.0	0.0	14.08377	6.97247	5.11517	13.5928	0.0	0.0	0.0	5.7655	0.0	0.0	69.00994	0.0	5.12465	5.78837	10.53822	68.88159	4.33755	6.19941	44.73901	50.90286
chrX|99566578|99569308	6.03785	0.0	9.91426	0.0	6.90527	0.0	0.0	0.0	13.57472	4.50216	0.0	0.0	60.15989	0.0	6.2539	0.0	16.74917	47.36614	0.0	8.52153	10.19979	4.32364
chr4|106852966|106857441	5.79359	0.0	6.9429	5.14061	15.52252	0.0	0.0	81.97668	8.2585	20.11185	0.0	0.0	7.14114	0.0	9.64453	0.0	19.0404	7.92286	0.0	3.85615	16.46126	8.76397
chr18|60668786|60671697	9.29621	0.0	0.0	9.96604	0.0	0.0	0.0	0.0	147.3443	2.81099	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.6882	0.0	0.0
chr17|4038923|4041381	3.13087	0.0	9.53412	0.0	9.33766	57.24335	10.09266	20.77106	0.0	23.2612	0.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
chr5|115571518|115574030	0.0	31.74523	6.80595	4.94211	0.0	0.0	0.0	0.0	12.07212	0.0	4.76613	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
chrX|53210549|53213376	3.11728	0.0	16.54774	6.97247	0.0	0.0	0.0	0.0	14.98104	23.2612	0.0	12.38923	0.0	0.0	0.0	3.46668	23.92119	7.96277	0.0	12.29994	0.0	0.0
chr3|88540941|88543473	0.0	0.0	5.72801	0.0	0.0	0.0	0.0	0.0	0.0	6.13732	0.0	0.0	8.42449	0.0	0.0	0.0	0.0	36.91045	0.0	0.0	20.64882	15.52748
chr2|30737017|30739571	0.0	0.0	11.48535	0.0	0.0	0.0	0.0	0.0	0.0	30.90526	0.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
chrX|160165154|160167910	0.0	0.0	7.83586	0.0	0.0	0.0	0.0	0.0	0.0	8.25919	0.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
chr14|7854365|7857420	0.0	0.0	0.0	0.0	0.0	8.36107	0.0	0.0	7.67432	9.01002	0.0	0.0	0.0	0.0	0.0	0.0	9.08738	9.25713	0.0	4.18474	0.0	0.0
chr9|120601909|120604533	9.76182	27.14246	12.55805	4.27905	12.17943	0.0	0.0	4.55078	23.04421	21.45255	0.0	0.0	0.0	0.0	10.10312	13.60612	45.25322	55.85595	0.0	40.08618	27.25207	24.94893
chr2|132426454|132429102	0.0	0.0	26.66974	0.0	0.0	0.0	0.0	0.0	0.0	3.54978	0.0	0.0	7.97682	0.0	0.0	0.0	0.0	0.0	11.02307	0.0	59.28879	61.47266
chr12|52380796|52383815	0.0	0.0	9.03833	8.93895	7.40333	0.0	0.0	4.42858	7.02745	6.90208	0.0	2.16273	0.0	0.0	8.66275	0.0	63.25637	14.79991	0.0	27.45844	13.14027	6.54423
chr5|99272413|99275239	2.63038	0.0	38.12697	0.0	0.0	49.96395	0.0	0.0	0.0	8.72169	0.0	0.0	6.80512	0.0	5.0498	0.0	24.73639	0.0	0.0	15.34002	64.61928	62.34552
chr13|28632437|28634958	0.0	0.0	0.0	0.0	4.36696	0.0	0.0	0.0	7.02745	9.79541	0.0	0.0	0.0	0.0	5.84679	0.0	5.87393	7.54844	0.0	0.0	5.08777	0.0
chr3|98092572|98095417	7.22937	0.0	2.16206	4.49361	0.0	0.0	0.0	0.0	5.96712	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr7|135137921|135140618	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.39386	0.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
chr13|34805275|34807841	0.0	0.0	12.49267	0.0	0.0	0.0	0.0	0.0	6.25392	6.6383	0.0	0.0	0.0	0.0	7.54205	0.0	0.0	0.0	0.0	0.0	8.78247	21.90987
chr19|26869273|26871934	4.94271	0.0	3.32753	0.0	0.0	0.0	0.0	6.97802	0.0	14.7866	0.0	0.0	0.0	0.0	4.28411	5.1622	9.18302	56.91897	0.0	4.34292	8.09806	0.0
chr12|79795794|79798372	0.0	67.86238	0.0	0.0	0.0	0.0	0.0	0.0	2.12892	5.77127	0.0	0.0	0.0	9.48154	5.68942	0.0	24.00711	13.36639	0.0	19.51005	43.24119	47.53412
chr8|34868749|34872970	0.0	0.0	9.72923	0.0	12.70743	0.0	0.0	0.0	0.0	0.0	5.92015	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
chr9|10445955|10448528	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.24679	0.0
chr6|114802640|114805326	0.0	0.0	13.36089	0.0	0.0	0.0	0.0	0.0	20.98142	11.70354	0.0	10.22511	0.0	7.43258	3.65922	4.56726	5.11695	57.93443	0.0	3.24649	16.07084	14.28359
chr19|46547123|46549693	0.0	0.0	7.51571	0.0	0.0	7.58428	0.0	0.0	2.65306	5.11829	0.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
chr8|116163758|116166268	0.0	0.0	2.81422	0.0	6.28184	8.27153	0.0	0.0	0.0	3.33213	0.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
chr2|170836029|170839441	5.81049	0.0	12.82438	0.0	6.74217	17.13704	16.68622	34.43582	0.0	11.74998	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.67783	11.66311
chr9|45625033|45628875	0.0	0.0	11.42872	0.0	0.0	0.0	0.0	0.0	0.0	14.5856	0.0	0.0	0.0	0.0	13.87609	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr13|39876693|39879433	0.0	0.0	0.0	0.0	19.95691	12.47947	54.1473	164.19576	0.0	11.04436	0.0	0.0	51.08237	0.0	9.45331	0.0	0.0	0.0	43.80078	0.0	9.2725	0.0
chr6|125159970|125162476	5.81049	44.73657	0.0	0.0	0.0	0.0	0.0	0.0	4.75465	0.0	18.1974	0.0	9.13154	14.85677	0.0	0.0	66.66953	34.81196	0.0	56.67141	0.0	11.92191
chr18|69546507|69549364	4.86821	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.15709	0.0	0.0	0.0	0.0	0.0	6.52701	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr12|99518009|99520804	7.22937	0.0	26.17054	4.27905	0.0	0.0	0.0	0.0	4.98314	6.13732	0.0	0.0	0.0	0.0	6.11219	0.0	0.0	0.0	0.0	0.0	19.8119	46.21908
chr6|127141188|127145234	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.75303	0.0	0.0	3.12612	0.0	21.45573	8.10069	0.0	0.0	13.98438	0.0	5.4589	0.0	0.0
chr11|116660002|116662901	5.8493	0.0	14.71234	5.14061	0.0	0.0	0.0	0.0	0.0	44.64864	0.0	8.11294	0.0	33.95157	4.80909	3.98562	0.0	36.66352	0.0	0.0	17.69749	5.67943
chrX|22897289|22900007	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.87192
chr3|51907571|51910645	5.81049	0.0	0.0	9.37895	0.0	0.0	0.0	9.36328	3.97626	13.02472	0.0	0.0	5.25315	0.0	9.19411	0.0	9.98037	23.25077	19.54707	5.65108	0.0	0.0
chr7|6850507|6853396	0.0	0.0	5.16256	0.0	6.03775	8.47446	0.0	0.0	8.08973	8.77852	0.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
chr7|76437642|76440363	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.22701	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.61695	0.0	4.67297	0.0
