68244_H3K4me1_Ren_sort_peaks.narrowPeak.gz	68115_EP300_Ren_sort_peaks.narrowPeak.gz	54499_H3K27ac_sort_peaks.narrowPeak.gz	62993_H3K27ac_sort_peaks.narrowPeak.gz	60947_H3K4me2_sort_peaks.narrowPeak.gz	5097_HOXC9_sort_peaks.narrowPeak.gz	55119_SOX2_sort_peaks.narrowPeak.gz	5060_OLIG2_sort_peaks.narrowPeak.gz	54562_H3K27ac_sort_peaks.narrowPeak.gz	53322_H3K4me1_sort_peaks.narrowPeak.gz	56691_POLII_sort_peaks.narrowPeak.gz	61702_H3K9ac_sort_peaks.narrowPeak.gz	61864_H3K27ac_sort_peaks.narrowPeak.gz	54525_H3K27ac_sort_peaks.narrowPeak.gz	53421_H3K4me1_sort_peaks.narrowPeak.gz	1545_DNase_sort_peaks.narrowPeak.gz	58242_SPI1_sort_peaks.narrowPeak.gz	58256_SPI1_sort_peaks.narrowPeak.gz	1932_EP300_sort_peaks.narrowPeak.gz	58318_DNase_sort_peaks.narrowPeak.gz	58262_SPI1_sort_peaks.narrowPeak.gz	1491_DNase_sort_peaks.narrowPeak.gz
hg19,chr16,51786180,51787369	0.0	0.0	0.0	0.0	0.0	43.71966	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.46479	0.0	29.19858	5.26105	0.0	11.40936	0.0	0.0
hg19,chr16,51757191,51758243	0.0	0.0	0.0	0.0	0.0	18.77784	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.17006	0.0	10.03665	0.0	0.0	4.66531	0.0	0.0
hg19,chr16,51732148,51733614	0.0	0.0	0.0	0.0	0.0	5.1358	0.0	10.97063	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hg19,chr16,51671181,51672039	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.07785	0.0	0.0	0.0	0.0	5.68942	0.0	0.0	0.0	0.0	0.0	25.10201	0.0
hg19,chr16,51657810,51658716	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.77965	0.0	0.0	7.03266	0.0	0.0
hg19,chr16,51576725,51578101	9.83336	0.0	0.0	6.97247	20.20614	174.36142	8.84515	8.97264	2.67203	4.50216	0.0	0.0	39.37748	0.0	3.93722	0.0	26.2942	0.0	0.0	17.55049	11.48098	0.0
hg19,chr16,51560196,51560925	0.0	0.0	0.0	0.0	0.0	59.3955	0.0	7.9395	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	65.20789	0.0	0.0	34.56265	0.0	0.0
hg19,chr16,51389295,51390719	0.0	0.0	0.0	0.0	7.34602	24.55798	8.28246	0.0	0.0	4.01154	0.0	0.0	0.0	0.0	8.7009	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hg19,chr16,51231121,51232362	0.0	0.0	0.0	0.0	0.0	26.39061	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.27681	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hg19,chr16,51129207,51130306	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.92323	0.0	24.39217	0.0	0.0	7.60104	0.0	0.0
hg19,chr16,51106148,51107109	0.0	0.0	5.02238	0.0	5.50468	0.0	0.0	0.0	0.0	9.43532	0.0	0.0	0.0	0.0	8.90703	0.0	0.0	0.0	0.0	0.0	17.68433	0.0
hg19,chr16,51056311,51057592	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.14152	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hg19,chr16,51042253,51043115	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hg19,chr16,51010690,51011608	0.0	0.0	0.0	0.0	0.0	74.42503	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hg19,chr16,50982029,50982689	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hg19,chr16,50977028,50978183	0.0	0.0	0.0	0.0	3.55401	204.57961	4.06227	15.86328	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.1381	0.0	0.0	0.0	0.0	0.0
hg19,chr16,50874863,50875709	2.69418	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.35365	0.0	0.0	3.42583	0.0	0.0
hg19,chr16,50848355,50849656	0.0	0.0	0.0	0.0	0.0	46.59054	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.22613	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hg19,chr16,31733057,31734604	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hg19,chr16,7758525,7759863	0.0	0.0	0.0	0.0	0.0	50.31702	0.0	0.0	0.0	14.65092	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.7504	0.0
hg19,chr16,7418980,7419830	0.0	0.0	10.75884	0.0	0.0	0.0	0.0	0.0	0.0	12.82244	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.69878	17.2054
hg19,chr16,6548841,6550064	0.0	0.0	0.0	0.0	0.0	27.39506	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.07899	18.10823
hg19,chr16,7431988,7433156	0.0	0.0	0.0	0.0	0.0	7.58428	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.67297	0.0
hg19,chr16,7886533,7888033	0.0	0.0	0.0	0.0	0.0	32.18177	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.98597
hg19,chr16,8133046,8134289	0.0	0.0	0.0	0.0	0.0	20.27283	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hg19,chr16,8431303,8432558	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.30863	0.0	0.0	0.0	0.0	0.0
hg19,chr16,17096348,17097253	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.30674	0.0
hg19,chr16,17745104,17746413	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hg19,chr16,18240361,18241096	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hg19,chr16,22684122,22685282	0.0	0.0	0.0	0.0	0.0	30.36287	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.29123	0.0	0.0	0.0	0.0	0.0
hg19,chr16,25759215,25760529	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hg19,chr16,26226210,26227347	0.0	0.0	0.0	0.0	0.0	0.0	5.00592	0.0	0.0	9.13185	0.0	0.0	0.0	0.0	0.0	0.0	11.71467	0.0	0.0	3.74015	0.0	0.0
hg19,chr16,48912816,48914144	0.0	0.0	0.0	0.0	0.0	7.72655	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.39565	5.63155
hg19,chr16,59629741,59631254	0.0	0.0	0.0	0.0	0.0	52.69024	0.0	0.0	0.0	10.9306	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.33468
hg19,chr16,60683721,60685186	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hg19,chr16,61243163,61244434	0.0	0.0	0.0	0.0	0.0	14.44624	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.94716	0.0	0.0	0.0	0.0
hg19,chr16,62942559,62944021	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.90171	0.0	0.0	0.0	0.0	0.0	27.72695	0.0
hg19,chr16,64651540,64652894	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hg19,chr16,8238189,8239787	0.0	0.0	0.0	0.0	0.0	10.39295	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hg19,chr16,72404533,72407591	0.0	0.0	6.01658	0.0	5.69743	249.62572	0.0	25.53195	0.0	7.78353	0.0	0.0	0.0	0.0	7.11397	0.0	11.67354	0.0	0.0	7.32789	12.5324	7.94783
hg19,chr16,73352312,73354585	0.0	0.0	3.03542	0.0	0.0	0.0	0.0	0.0	0.0	9.1439	0.0	0.0	0.0	0.0	4.69946	0.0	0.0	0.0	0.0	6.40384	37.96476	6.38213
hg19,chr7,21003280,21004750	0.0	0.0	0.0	0.0	0.0	17.04344	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.4456	0.0	0.0	0.0	0.0	0.0	25.63993	36.95431
hg19,chr7,42191728,42193638	0.0	0.0	7.51571	0.0	12.4385	142.74252	9.49228	15.16494	12.31992	10.10758	0.0	0.0	118.36921	0.0	6.67021	0.0	50.55228	26.69405	12.38333	21.12596	43.95638	19.26155
hg19,chr9,973435,975288	0.0	0.0	2.81422	0.0	0.0	0.0	0.0	10.17747	0.0	6.13732	8.47522	0.0	23.37407	0.0	0.0	0.0	0.0	0.0	32.36485	0.0	5.2237	9.76523
hg19,chr11,32197490,32198734	0.0	0.0	5.75316	0.0	0.0	11.26458	0.0	0.0	0.0	7.77334	0.0	0.0	0.0	0.0	2.72027	13.564	55.10954	49.26498	0.0	41.59938	50.15503	52.98322
hg19,chrX,24822603,24824623	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hg19,chrX,24864231,24865733	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.23985	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hg19,chrX,24894335,24896084	0.0	0.0	3.06807	0.0	0.0	8.49603	0.0	0.0	0.0	0.0	0.0	0.0	88.93317	0.0	6.29398	0.0	0.0	0.0	0.0	0.0	6.39565	5.75496
hg19,chrX,24915382,24918272	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.048	0.0	0.0	0.0	0.0	0.0	4.74182	0.0	0.0	15.89291
hg19,chrX,24945648,24947567	0.0	0.0	0.0	0.0	0.0	7.58428	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.67297	11.47018
hg19,chrX,25007879,25009581	0.0	0.0	5.92536	0.0	0.0	0.0	0.0	0.0	0.0	7.41225	0.0	0.0	0.0	0.0	0.0	0.0	9.16773	0.0	0.0	9.38432	16.65299	21.68138
hg19,chrX,25017067,25018756	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.69763	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.33752	10.24996
hg19,chrX,25400224,25402334	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.52763	43.70333
hg19,chr16,49094466,49095242	0.0	0.0	0.0	0.0	0.0	63.28836	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	55.54526	0.0	0.0	0.0	0.0
hg19,chr16,59574986,59575985	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hg19,chr13,71343609,71344868	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.7867	0.0	0.0	0.0	0.0	0.0	9.09982	0.0	0.0	5.26105	0.0	0.0	14.42122	0.0
hg19,chr13,71722458,71724962	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.68942	0.0	0.0	6.11722	7.64257	0.0	15.05017	33.41119
hg19,chr13,71774848,71775368	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.87192
hg19,chr13,72771271,72773876	0.0	0.0	6.08805	0.0	0.0	0.0	0.0	0.0	0.0	5.02142	0.0	0.0	0.0	0.0	7.11548	0.0	0.0	0.0	0.0	0.0	4.55669	0.0
hg19,chr13,73006141,73006976	0.0	0.0	0.0	0.0	0.0	5.01499	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.59165	0.0	38.01822	0.0	5.39357	16.06824	0.0	0.0
hg19,chr13,73067601,73068380	0.0	0.0	0.0	0.0	0.0	130.32964	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hg19,chr13,73078567,73079883	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.39827	0.0	0.0	0.0	0.0	0.0	4.91499	0.0	5.81361	4.35717	0.0	5.75582	6.56258	0.0
hg19,chr13,73149054,73150028	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hg19,chr13,71793422,71795334	0.0	58.45546	10.97242	0.0	4.5446	5.65916	0.0	0.0	4.07376	5.79574	0.0	0.0	5.15857	0.0	5.70226	0.0	9.32664	10.67832	10.07027	12.01168	6.53667	0.0
